question,answer
¿Qué causa puede llevar a la expulsión de una persona asociada según los estatutos o regulaciones internas?,La inobservancia de cualquiera de las obligaciones contempladas en los estatutos o regulaciones internas puede llevar a la expulsión de una persona asociada.
¿Qué tipo de vinos se mencionan en el texto que presentan un contenido de acidez volátil superior a los límites fijados en el Reglamento?,Se mencionan algunos vinos españoles y el vino italiano Alto Adige que tienen un grado alcohólico volumétrico total superior a 13 % vol.
¿Qué institución publicó el plan de estudios conducente al título de Diplomado en Ciencias Empresariales de la Universidad de Cantabria?,La Universidad de Cantabria publicó el plan de estudios conducente al título de Diplomado en Ciencias Empresariales.
¿Qué tipo de productos se incluyen en los beneficios de contingentes arancelarios según el texto?,Se incluyen híbridos de agrios conocidos como 'minneolas' y jugos de naranja concentrado y congelado.
¿Qué especies aviarias no están incluidas en la solicitud de autorización de la 6-fitasa?,"Los pollos de engorde, los pavos de engorde y los patos de engorde, así como las gallinas ponedoras, no están incluidos en la solicitud de autorización de la 6-fitasa."
¿Qué órgano se encarga de la administración del Fondo Nacional para el Desarrollo de la Investigación Científica y Técnica según el Real Decreto mencionado?,La Comisión Interministerial de Ciencia y Tecnología es la encargada de administrar el Fondo Nacional para el Desarrollo de la Investigación Científica y Técnica.
¿Qué se aprueba en la Orden TIN/1063/2009 del 29 de abril?,Se aprueba la delegación de competencias de la Secretaria de Estado de Inmigración y Emigración en el Subdirector General de Administración Financiera.
¿Cuándo entrará en vigor la presente modificación?,La presente modificación entrará en vigor al día siguiente de su publicación en el «Boletín Oficial del Estado».
¿Desde cuándo dejó de estar vigente la disposición mencionada en el texto?,Dejó de estar vigente desde el 7 de diciembre de 2000.
¿Qué se considerará equivalente al régimen establecido en la Directiva 2009/138/CE en las Bermudas?,"El régimen de supervisión en vigor en las Bermudas que se aplica a las actividades de seguro de las empresas con domicilio social en las Bermudas se considerará equivalente al régimen establecido en el título I, capítulo VI, de la Directiva 2009/138/CE, con excepciones."
¿Qué se modifica en la Decisión del Comité mixto del EEE nº 60/98?,"Se modifica el anexo II (Reglamentaciones técnicas, normas, ensayos y certificación) del Acuerdo EEE."
¿Qué trata el Reglamento (CE) nº 939/2008 de la Comisión?,"El Reglamento trata sobre la aprobación de modificaciones no menores del pliego de condiciones de una denominación inscrita en el Registro de Denominaciones de Origen Protegidas y de Indicaciones Geográficas Protegidas, específicamente de la denominación 'Rocamadour (DOP)'."
¿Cuál es el objetivo principal del Reglamento (UE) nº 1388/2011 del Consejo?,El objetivo principal es fijar los precios de orientación y los precios de producción de la Unión de determinados productos de la pesca para la campaña de pesca de 2012.
¿Qué se modifica en el Reglamento (CE) no 2273/2002 según el texto proporcionado?,"Se modifica el anexo I, parte E, y el anexo II, parte D, del Reglamento (CE) no 2273/2002."
"¿Qué tipo de construcciones, instalaciones, actividades y usos pueden ser autorizados en el suelo rústico de especial protección de forma excepcional?","Se pueden autorizar construcciones, instalaciones, actividades y usos necesarios para explotaciones agrícolas, ganaderas, forestales, entre otras; actividades complementarias de las explotaciones; actividades vinculadas a obras públicas e infraestructuras; aquellas consideradas de interés público o social; y usos que sea imprescindible ubicar en suelo rústico."
¿Qué sucede si no se toma posesión de los cargos en el tiempo establecido según el texto?,"Se perderán los derechos adquiridos en la oposición, salvo que la Dirección General acuerde la rehabilitación por concurrir justa causa."
¿Qué se hace público en la Resolución de 20 de julio de 1991 de la Universidad Jaume I de Castellón?,Se hace público el Plan de Estudios de Ingeniero Técnico en Informática de Gestión de esta Universidad.
¿Cuál es el objetivo principal del Real Decreto 2113/1985?,El objetivo principal es bonificar el impuesto de compensación de gravámenes interiores aplicable a las importaciones de maíz.
¿Qué organismo elaboró los índices de precios de mano de obra y materiales de la construcción correspondientes al mes de agosto de 1993?,El Comité Superior de Precios de Contratos del Estado fue el organismo encargado de elaborar los índices de precios de mano de obra y materiales de la construcción correspondientes al mes de agosto de 1993.
¿Cómo se calcula la obligación de pago de cada unidad de adquisición correspondiente al pago de la banda de regulación secundaria?,"La obligación de pago de cada unidad de adquisición se calcula multiplicando el coste fijo total de la banda de regulación secundaria por los consumos medidos elevados a barras de central de la unidad, y dividiendo el resultado entre la suma de los consumos medidos elevados a barras de central de todas las unidades de adquisición."
¿Qué fecha se menciona como la fecha de disposición en el Reglamento?,La fecha de disposición mencionada en el Reglamento es el 30 de junio de 1986.
¿Qué materias se mencionan en el texto?,"Se mencionan Ceuta, Gasolina, Melilla y Precios."
¿Desde cuándo es aplicable el texto mencionado?,El texto es aplicable desde el 1 de noviembre de 1987.
¿Qué modificación introduce el Reglamento (CE) nº 2578/2000 del Consejo en relación al Reglamento (CE) nº 2406/96?,"Introduce normas comunes de comercialización para cinco nuevas especies, entre ellas salmonetes, rodaballos y vieiras."
¿Cuál es el propósito de la Resolución de 10 de febrero de 1984 mencionada en el texto?,El propósito es dar publicidad a los Índices anuales de precios percibidos por los agricultores para la actualización de rentas en los arrendamientos rústicos.
"¿Qué materias aborda el Real Decreto 839/1996, de 10 de mayo?","El Real Decreto 839/1996, de 10 de mayo, aborda las materias de Condecoraciones y Recompensas en el ámbito de la Sanidad, específicamente la Orden Civil de Sanidad y las Ordenes Civiles relacionadas con la Sanidad."
¿Qué regiones o municipios se mencionan en el texto?,"Se mencionan Lazdijų rajono savivaldybė, Marijampolės savivaldybė, Mažeikių rajono savivaldybės, Prienų rajono savivaldybė, Šakių rajono savivaldybė, Šiaulių rajono savivaldybės, Vilkaviškio rajono savivaldybės y algunas zonas de Polonia."
¿Qué centros universitarios se incorporan a la Universidad de Valladolid según el Real Decreto 2215/1985?,Se incorporan la Escuela Universitaria de Profesorado de EGB de Soria y la Escuela Universitaria de Enfermería de la Diputación Provincial de Soria.
¿Cuál es el objetivo fundamental de la situación de segunda actividad para los funcionarios de los Cuerpos de Policía Local de la Comunidad Valenciana?,"El objetivo fundamental es garantizar una adecuada aptitud psicofísica mientras permanecen en activo, asegurando la eficacia del servicio."
¿Qué puede hacer el adjudicatario en caso de que no obtenga un lote de sustitución de la calidad prevista en un plazo máximo de un mes?,"En ese caso, el adjudicatario quedará liberado de todas sus obligaciones, incluidas las garantías, tras informar a la Comisión y al organismo de intervención utilizando el formulario correspondiente."
¿Cuál es el objetivo de la Orden de 24 de julio de 1984 mencionada en el texto?,"El objetivo de la Orden es modificar el apartado 7 del baremo para Ayudantes Técnicos Sanitarios y Diplomados en Enfermería, con el fin de lograr una más correcta y justa valoración de los méritos aportados por los concursantes."
¿Qué condiciones deben cumplir las intervenciones financieras en el marco de la Decisión según el texto?,"Las intervenciones financieras deben ser realizadas por las autoridades competentes de los PTU y la Comunidad en estrecha colaboración, dentro del respeto de la igualdad de las Partes."
¿Qué información debe figurar en la casilla 8 de la solicitud de certificado y del certificado?,"En la casilla 8 debe figurar el país de origen, y el certificado obligará a importar del país indicado."
¿Por qué se concede una excepción a la prohibición de exportar ganado porcino en ciertas zonas de un Estado miembro?,Se concede una excepción debido a la declaración de peste porcina africana en los doce meses anteriores en esas zonas específicas.
¿Qué cuerpos y escalas se encuentran en proceso de extinguirse según el texto?,"Entre los cuerpos y escalas a extinguir se encuentran: Técnico-Administrativa de IPPV, Técnicos de Correos, Técnicos de Telecomunicación, Técnico-Mecánico de Señales Marítimas, Delineantes, Celadores Guardamuelles de varias Juntas de Puertos."
¿Qué organismo es el encargado de desarrollar la normativa para los procesos de selección y provisión de plazas para el personal estatutario de los servicios de salud en Asturias?,"Tras la aprobación de la ley, corresponde al Gobierno de Asturias el desarrollo de la normativa para estos procesos."
¿Cómo se han dividido los terrenos de la zona de servicio del Puerto de Sagunto en áreas funcionales?,"Los terrenos se han dividido en áreas funcionales, siendo la Área Funcional I la que envuelve los viales generales Norte-Sur del puerto, entre la estación de clasificación prevista en el Muelle Centro Dos de la Ampliación y el linde de la zona de servicio terrestre del Puerto de Sagunto."
¿Qué tipo de mercancía se describe en el texto?,"Se describe el arancel aduanero común de mercancías como aves de corral vivas, aves de corral muertas, despojos de aves, hígados de aves, tocino, grasas de aves, entre otros."
¿Qué porcentaje se autoriza de elevación de los precios de los carbones nacionales destinados a centrales térmicas a partir del 1 de enero de 1985?,Se autoriza una elevación del 7 por 100 sobre el precio vigente.
¿Qué deben hacer los títulos universitarios oficiales para mantener su acreditación según el fragmento de texto?,Deben someterse al procedimiento de evaluación previsto en el artículo 27 del Real Decreto 1393/2007 dentro de los seis años siguientes a su inscripción en el RUCT.
¿En qué situaciones se podrá admitir el abandono o acercamiento a la RIMP en el transporte de mercancías peligrosas?,"Se podrá admitir el abandono o acercamiento a la RIMP por la carga o descarga en el origen o destino de la mercancía, en la base logística del transportista, en el lugar de descanso preceptivo, en la reparación y mantenimiento del vehículo, o para acceder o abandonar un lavador de cisternas oficial o un aparcamiento especialmente habilitado, siempre que se cumplan los requisitos de seguridad establecidos en el ADR y se pueda acreditar documentalmente."
¿Cuáles son los dos hechos fundamentales que han vertebrado la presente Demarcación desde el punto de vista económico-social y demográfico?,"Los dos hechos fundamentales son la concentración industrial y urbana en todo el país, y la nueva agrupación de las Notarías en base a criterios demográficos."
¿Qué modificaciones se están incorporando al Acuerdo sobre el Espacio Económico Europeo según el texto proporcionado?,"Se están incorporando modificaciones relacionadas con la importación de carne de conejo, caza de cría, animales vivos y productos de origen animal de Zimbabue y las islas Falkland, así como condiciones zoosanitarias y certificación veterinaria para la importación de carne fresca de las islas Malvinas."
¿Qué requisitos deben cumplir los forrajes desecados para poder acogerse a la ayuda establecida en el Reglamento?,"Además de los requisitos indicados en el Reglamento (CE) no 1786/2003, los forrajes desecados deben cumplir los aplicables a la comercialización con destino a la alimentación animal y salir sin transformar o mezclados del recinto de la empresa de transformación o de un lugar de almacenamiento autorizado."
¿Qué se debe evaluar para identificar obligaciones de ejecución en los contratos mencionados en el texto?,Se debe evaluar si la comisión se refiere a la transferencia de un bien o servicio prometido.
¿Qué países se mencionan en el texto y cuántas toneladas de semillas de habas se autoriza a comercializar a cada uno?,"Se mencionan Alemania, Irlanda y Reino Unido. A Alemania se autoriza la comercialización de 1,000 toneladas, a Irlanda 20 toneladas, y al Reino Unido 3,000 toneladas de semillas de habas."
¿Cuándo entrará en vigor el presente Reglamento según el artículo 2?,El presente Reglamento entrará en vigor el día de su publicación en el Diario Oficial de la Unión Europea.
¿Cuál es el objetivo principal de la Decisión del Consejo de 22 de diciembre de 1986 en el ámbito del turismo?,El objetivo principal es establecer un procedimiento de consulta y coordinación en el ámbito del turismo para promover un desarrollo armonioso de las actividades económicas en la Comunidad Europea.
¿Qué modificación se realiza en la Ordenanza de Trabajo para la Pesca Marítima en Buques Arrastreros al Fresco en la Orden de 11 de enero de 1979?,Se modifica el artículo 61 de la Ordenanza de Trabajo para la Pesca Marítima en Buques Arrastreros al Fresco.
¿Qué puede hacer el Comité Ejecutivo del Banco Central Europeo según la Orientación BCE/2002/7?,El Comité Ejecutivo del Banco Central Europeo puede introducir modificaciones técnicas en los anexos de la orientación que no cambien el marco conceptual subyacente ni afecten a la carga de la obligación de informar.
¿Qué se establece en el artículo 1 del presente Reglamento?,En el artículo 1 se fijan los coeficientes de ponderación a que se hace referencia en el Reglamento (CEE) no 2759/75.
"¿Qué países están incluidos en la lista de terceros estados a los que se refiere el artículo 2, apartado 1?","Noruega, Croacia, Montenegro, Ucrania y Serbia."
¿Qué entidades pueden optar por ser tratadas como OICVM u organismos equivalentes según el texto?,Las entidades mencionadas en el apartado 2 pueden optar por ser tratadas como OICVM u organismos equivalentes.
¿Cuáles son los criterios funcionales que deben cumplir los sistemas de registro según el artículo 11 de la Directiva?,"Los criterios funcionales que deben cumplir son: claridad, accesibilidad, prontitud y seguridad."
¿Qué indicaciones pueden caracterizar a los productos a los que se refieren los incisos i) e ii) de la letra b) del artículo 1?,Los productos pueden caracterizarse por las indicaciones 'dietético' o 'de régimen'.
¿Por qué se considera inconstitucional la atribución de competencia de audiencia a la Comisión Parlamentaria en el caso de los nombramientos de Directores regionales de los medios de RTVE?,"Se considera inconstitucional porque dicha competencia no está contemplada en el Estatuto de RTV y está estrictamente restringida a los supuestos expresamente contemplados por el mismo, según lo establecido en la STC 10/1982."
¿Qué establece el Reglamento (CEE) nº 3416/91 de la Comisión?,Establece determinados derechos residuales aplicables en 1991 dentro de las reducciones sucesivas establecidas en el Acta de adhesión de España y de Portugal.
¿Cuál es el cometido principal del organismo interinstitucional creado según el texto?,"El cometido principal es establecer las listas de reserva de los candidatos a las oposiciones generales, en función de las necesidades expresadas por cada institución y de conformidad con el Estatuto."
¿Cuándo entrará en vigor el presente Reglamento?,"El presente Reglamento entrará en vigor el día siguiente al de su publicación en el Diario Oficial de la Unión Europea, es decir, el 18 de julio de 2019."
¿Qué deben hacer las Comunidades Autónomas según el Reglamento (CE) 826/1994 a partir de la campaña 1995?,"Las Comunidades Autónomas deben recalcular los derechos de los productores asignados al 100 y al 50 por 100, reduciendo a la mitad los derechos al 50 por 100 y convirtiéndolos en derechos a tipo completo, comunicando los nuevos límites antes del 31 de diciembre de 1994 a los productores que poseían derechos a tipo reducido."
¿Qué sucede con el abono de la prestación en caso de suspensión del derecho?,"La suspensión del derecho a la prestación supondrá la interrupción del abono de la misma, con efectos a partir del primer día del mes siguiente a aquel en que se hubieran producido los motivos que la causan, reduciéndose el período de percepción de la prestación por tiempo igual al de la suspensión producida."
¿Qué sucede en caso de que el beneficiario no reembolse la totalidad de la participación financiera comunitaria abonada?,"En caso de que el beneficiario no reembolse la totalidad de la participación financiera comunitaria abonada, más los intereses correspondientes, estos importes serán recuperados y abonados al organismo de pago competente, y serán deducidos de los gastos financiados por el Fondo Europeo de Orientación y de Garantía Agrícola."
¿Qué modificaciones se realizan en la Orden de 27 de mayo de 1993 según el fragmento de texto proporcionado?,"Se modifican los anexos I al VI de la Orden de 12 de marzo de 1987, estableciendo normas fitosanitarias relativas a la importación, exportación y tránsito de vegetales y productos vegetales en aplicación de la Directiva 77/93/CEE y sus modificaciones."
¿Cuál es el motivo principal de la Orden de 31 de mayo de 1988 mencionada en el texto?,El motivo principal es ampliar el plazo de presentación de solicitudes de crédito para los damnificados por inundaciones en la Comunidad Autónoma Valenciana y en la Comunidad Autónoma de la Región de Murcia.
¿Qué tipo de corrección se realizó en el texto del Sumario de la Sentencia núm. 174/1995 del Tribunal Constitucional?,"Se realizaron correcciones en el texto del sumario de la Sentencia núm. 174/1995, específicamente en las referencias al artículo 18.2 de la Ley, que debían ser al art. 38.2 de la Ley."
¿En qué comunidad autónoma se encuentra la región de Campo de Tarragona?,La región de Campo de Tarragona se encuentra en la comunidad autónoma de Cataluña.
"¿Qué se requiere para obtener los certificados de los niveles básico, intermedio y avanzado en la enseñanza de idiomas?","La obtención de los certificados exigirá la superación de unas pruebas específicas cuyo diseño, administración y calificación seguirán las pautas que establezca el Ministerio de Educación y Ciencia."
¿Qué obligaciones tienen los instructores según el punto FCL.945?,"Una vez efectuado el vuelo de instrucción de revalidación de una habilitación de clase SEP o TMG, el instructor anotará en la licencia del solicitante la nueva fecha de caducidad de la habilitación, si está autorizado por la autoridad competente."
¿Cuándo entró en vigor el Canje de Cartas mencionado en el texto?,El Canje de Cartas entró en vigor el 23 de noviembre de 2007.
¿Qué competencias reserva la Ley Orgánica 6/1981 para la Comunidad Autónoma de Andalucía?,"La Ley Orgánica 6/1981 reserva a la Comunidad Autónoma de Andalucía la competencia exclusiva en materia de agricultura, ganadería y desarrollo y ejecución de la legislación básica del Estado en materia de sanidad interior."
¿Cuál es el objeto principal del Acuerdo del Consejo de Ministros del 14 de diciembre de 2007?,El objeto principal es determinar las condiciones de los planes de estudios para obtener títulos universitarios oficiales de Arquitecto.
¿Qué sucede si el que tiene derecho a la devolución tiene deudas pendientes con la Seguridad Social por cuotas de otros períodos?,"El crédito por la devolución será aplicado al pago de las deudas pendientes con la Seguridad Social en la forma legalmente procedente, sin perjuicio del derecho a solicitar aplazamiento extraordinario de todas las cuotas pendientes."
¿Qué se requiere presentar junto con los modelos de declaración para obtener el justificante de la declaración e ingresar el importe resultante en euros?,Se requiere presentar el Fichero de Información Complementaria junto con los modelos de declaración.
¿Cuál es el objeto de este real decreto?,"El objeto de este real decreto es establecer las especialidades docentes del Cuerpo de Profesores de Música y Artes Escénicas vinculadas a las enseñanzas de Música y de Danza, así como definir la asignación de asignaturas en las enseñanzas profesionales de Música y de Danza y en el Bachillerato."
¿Qué se declara en situación de excedencia especial según el artículo 44 del Estatuto de Personal del Instituto Nacional de Previsión?,"Se declara en situación de excedencia especial a los funcionarios que sean nombrados para cargos públicos, de carácter no permanente, por Decreto."
¿Qué se dispone en el Acuerdo de 10 de mayo de 1989 del Pleno del Consejo General del Poder Judicial?,Se dispone la constitución del Tribunal Superior de Justicia de Castilla y León.
"¿Qué errores se detectaron en la Orden FOM/2226/2010, según el fragmento de texto proporcionado?","Se detectaron errores en la letra ñ) y o) del apartado 2 del artículo 2, así como en la letra s) del mismo apartado."
¿Cuál es el objetivo del Reglamento (CE) nº 1374/2000 de la Comisión?,El objetivo es prorrogar en la campaña 2000/01 la fecha límite para la siembra de algunos cultivos herbáceos en determinadas regiones.
¿Qué decisión se tomó en relación a las importaciones de receptores de televisión en color originarios de Turquía?,Se dio por concluido el procedimiento antidumping relativo a las importaciones de receptores de televisión en color originarios de Turquía.
¿Cuál es el criterio de tolerancia para las variaciones en alturas parciales y totales de las columnas?,Las variaciones no deben ser superiores a cinco milímetros en alturas parciales y de 10 milímetros en alturas totales.
¿Cuál es el objetivo principal del Reglamento (CEE) nº 1290/85 de la Comisión?,"El objetivo principal es establecer requisitos de calidad mínimos para los melocotones en almíbar que pueden beneficiarse de la ayuda a la producción, con el fin de evitar la fabricación de productos sin demanda y posibles distorsiones en el mercado."
